,time,GPSx,GPSy,a,omega,yaw
110,11.317,-64.00090151955374,-70.00565000274219,2.7623839303227133,0.12396649,-2.4565509221820188
111,11.422,-64.00090151955374,-70.00565000274219,4.761001306126832,0.10266183,-2.4565509221820188
112,11.524,-64.00090151955374,-70.00565000274219,4.338449157570937,-0.1178414,-2.4549146760082743
113,11.625,-64.00090151955374,-70.00565000274219,3.9105825285776072,-0.18814678,-2.452460219481195
114,11.735,-64.00090151955374,-70.00565000274219,1.1387657751458615,0.036617383,-2.4551874709703605
115,11.821,-64.00090151955374,-70.00565000274219,4.763825433872567,0.039813083,-2.452187599052033
116,11.931,-64.00090151955374,-70.00565000274219,1.7919543601146295,-0.09227581,-2.451642183660785
117,12.034,-64.00090151955374,-70.00565000274219,1.4849186660335096,-0.09121058,-2.451914978622871
118,12.139,-64.54717707331292,-82.92562630632892,3.4165437668319907,-0.0038614697,-2.452460219481195
119,12.242,-64.54717707331292,-82.92562630632892,2.3814761579025268,-0.09121058,-2.4475516554928856
120,12.345,-64.54717707331292,-82.92562630632892,2.629372963094428,0.00998656,-2.4505513528782883
121,12.463,-64.54717707331292,-82.92562630632892,2.6387803583366036,0.082422405,-2.4491877271337055
122,12.568,-64.54717707331292,-82.92562630632892,3.341665281233253,0.06644391,-2.4470060655687123
123,12.667,-64.54717707331292,-82.92562630632892,3.5151176319786575,-0.034753226,-2.4437335732212233
124,12.767,-64.54717707331292,-82.92562630632892,2.491253896928481,0.12609696,-2.4431883323628996
125,12.872,-64.54717707331292,-82.92562630632892,3.546101089387419,-0.047536023,-2.439643045053324
126,12.978,-64.54717707331292,-82.92562630632892,3.2337393418259395,0.04833495,-2.4390976296620757
127,13.081,-64.54717707331292,-82.92562630632892,2.282338286659785,0.032356452,-2.4377341784504174
128,13.184,-64.40107224148232,-96.77712328080088,1.2740748579879102,-0.036883693,-2.4377341784504174
129,13.284,-64.40107224148232,-96.77712328080088,1.433826661172075,0.039813083,-2.4347343065320897
130,13.388,-64.40107224148232,-96.77712328080088,1.5314921293420007,0.118640326,-2.4328252653962585
131,13.492,-64.40107224148232,-96.77712328080088,2.6273487398403907,0.047269717,-2.4279167014079492
132,13.595,-64.40107224148232,-96.77712328080088,1.832448752106558,-0.063514516,-2.428189321837111
133,13.694,-64.40107224148232,-96.77712328080088,2.1232028615245366,-0.05712312,-2.4101906139259195
134,13.795,-64.40107224148232,-96.77712328080088,2.1176410143990476,0.03768262,-2.4085543677521746
135,13.898,-64.40107224148232,-96.77712328080088,1.453407772274034,-0.030492295,-2.405281875404685
136,14.003,-64.40107224148232,-96.77712328080088,4.957262639279736,0.012117025,-2.4058272907959335
137,14.115,-64.52559961203951,-110.90472669899464,4.244198086396292,-0.05392742,-2.40691812157843
138,14.21,-64.52559961203951,-110.90472669899464,1.5642622502607828,-0.036883693,-2.4031002138396924
