timestamp,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644571432451,2.86875,-37.893753,-1.40625,-9.688137,-0.41180268,1.2773066,0.7166355,0.028894445,-0.07376739,0.0,0.0,0.0
1644571432551,3.4687502,-37.85625,1.8375001,-9.822212,-0.3878607,1.3305776,0.828485,0.027829213,-0.10252868,0.0,0.0,0.0
1644571432650,3.73125,-37.537502,5.0437503,-9.645041,-0.25378537,1.2389994,0.82741976,0.0693733,-0.10252868,0.0,0.0,0.0
1644571432758,4.7250004,-37.725002,7.3500004,-9.716867,-0.4165911,1.38325,0.7890714,0.032090146,-0.07376739,0.0,0.0,0.0
1644571432866,4.5375004,-37.03125,11.887501,-9.544485,-0.21547815,1.2294226,0.8093108,-0.090411656,-0.11211578,0.0,0.0,0.0
1644571432967,4.78125,-36.225002,13.931251,-9.985018,-0.4405331,1.775899,0.7688319,-0.0435414,-0.10678961,0.0,0.0,0.0
1644571433070,5.64375,-35.60625,17.53125,-9.707291,-0.31124622,1.6705543,0.7997237,-0.010519176,-0.14300753,0.0,0.0,0.0
1644571433177,6.5437503,-34.537502,20.38125,-9.5732155,-0.37828386,1.4598645,0.7848104,-0.013714875,-0.15685557,0.0,0.0,0.0
1644571433280,6.4875,-32.287502,22.425001,-9.673772,-0.49320555,1.7136499,0.796528,-0.042476166,-0.124898575,0.0,0.0,0.0
1644571433385,6.8625,-31.1625,25.95,-9.827001,-0.4261679,1.5699978,0.75391865,-0.032889068,-0.101463445,0.0,0.0,0.0
1644571433491,7.2187505,-29.60625,28.125002,-9.707291,-0.22505496,1.6561891,0.7933323,0.0118507175,-0.08655018,0.0,0.0,0.0
1644571433589,7.0312505,-27.6,29.493752,-9.443929,-0.272939,1.3736732,0.7858757,0.02676398,-0.09294158,0.0,0.0,0.0
1644571433700,7.51875,-25.125002,29.812502,-9.79827,-0.12868834,1.3880384,0.6154384,-0.024367206,-0.07696309,0.0,0.0,0.0
1644571433804,7.51875,-23.118752,33.65625,-9.865308,0.18734628,1.6561891,0.7038527,0.0075897854,-0.08441972,0.0,0.0,0.0
1644571433907,7.0875,-21.31875,35.175003,-9.67856,-0.14305355,1.5652094,0.6133079,0.0629819,-0.055658426,0.0,0.0,0.0
1644571434010,7.51875,-19.3875,35.831253,-9.578004,0.110731825,1.6130934,0.6196993,-9.320789E-4,-0.111050546,0.0,0.0,0.0
1644571434115,7.6875005,-17.925001,37.575,-9.38168,0.3453636,1.335366,0.6388735,-0.028628137,-0.123833336,0.0,0.0,0.0
1644571434218,7.3875003,-14.56875,37.425003,-9.788693,0.0053869537,1.6609775,0.686809,-0.058454663,-0.17283405,0.0,0.0,0.0
1644571434321,8.212501,-12.825001,38.7,-9.793482,-0.032920275,1.7615339,0.6484606,-0.07017223,-0.16324696,0.0,0.0,0.0
1644571434424,8.868751,-10.40625,39.45,-9.635465,-0.013766659,1.809418,0.63780826,-0.050998032,-0.15259463,0.0,0.0,0.0
1644571434532,8.962501,-7.3125005,39.581253,-9.697714,-0.25378537,1.6466122,0.6878742,-0.0115844095,-0.16750789,0.0,0.0,0.0
1644571434631,9.3,-5.625,39.61875,-9.520543,-0.22505496,1.4215573,0.62396026,-0.005193011,-0.116376705,0.0,0.0,0.0
1644571434737,9.09375,-3.4875002,39.7125,-9.635465,-0.33518824,1.7040731,0.5547201,-0.028628137,-0.10465915,0.0,0.0,0.0
1644571434840,9.13125,-1.1812501,39.487503,-9.788693,-0.21068975,1.8046296,0.5621767,-0.08615072,-0.03967993,0.0,0.0,0.0
1644571434946,9.31875,0.3375,39.037502,-9.755175,-0.0664391,1.809418,0.49613228,-0.023301972,-0.023701435,0.0,0.0,0.0
1644571435051,9.337501,2.1937501,39.65625,-9.831789,-0.21068975,1.6705543,0.50891507,1.3315413E-4,-0.013049104,0.0,0.0,0.0
1644571435156,9.150001,3.91875,38.362503,-9.434352,-0.0664391,1.584363,0.48547995,-0.005193011,-0.056723658,0.0,0.0,0.0
1644571435262,9.543751,5.8875003,38.23125,-9.645041,0.05805939,2.3026235,0.31717312,-0.061650362,-0.24526991,0.0,0.0,0.0
1644571435369,9.375,7.4625,38.1375,-9.683349,-0.076015905,1.8429368,0.32782546,-0.055258963,-0.17176883,0.0,0.0,0.0
1644571435471,9.58125,9.39375,36.506252,-9.640253,-0.17717093,1.6753427,0.35552153,-0.047802333,-0.056723658,0.0,0.0,0.0
1644571435578,9.5625,9.50625,36.881252,-9.836577,-0.11911154,1.6992847,0.12223549,0.036351077,-0.02157097,0.0,0.0,0.0
1644571435676,9.9375,9.7875,36.506252,-9.487024,0.16819267,1.785476,0.16697527,-0.035019536,0.040212546,0.0,0.0,0.0
1644571435784,9.4125,11.15625,36.037502,-9.391256,0.09636662,1.8429368,0.09134373,-0.053128496,-0.0034620073,0.0,0.0,0.0
1644571435888,9.806251,11.793751,36.225002,-9.544485,-0.004189853,1.9099745,0.10732222,-0.061650362,-0.031158065,0.0,0.0,0.0
1644571435992,9.9375,12.0375,35.831253,-9.668983,0.15861586,1.9243397,0.013581721,-0.050998032,-0.022636201,0.0,0.0,0.0
1644571436097,10.275001,11.90625,35.23125,-9.716867,0.17776948,1.9578584,-0.0322233,-0.027562905,0.029560216,0.0,0.0,0.0
1644571436201,9.95625,11.2875,36.2625,-9.554062,0.15382746,2.1877017,-0.06950645,-0.028628137,0.018907886,0.0,0.0,0.0
1644571436304,9.637501,11.475,36.018753,-9.434352,0.12988544,2.3169887,-0.17816022,-0.00838871,-0.06418029,0.0,0.0,0.0
1644571436408,10.275001,10.668751,36.112503,-9.592369,-0.004189853,2.393603,-0.11211578,-0.047802333,-0.056723658,0.0,0.0,0.0
1644571436510,9.95625,10.875,36.018753,-9.53012,-0.18674773,2.379238,-0.21437815,-0.031823836,-0.013049104,0.0,0.0,0.0
